Yr,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,Brad Davis,PG,24,TOT,18,268,14.1,.593,.016,.254,1.8,5.4,3.7,25.9,2.3,0.2,16.7,13.3,0.5,0.1,0.6,.108,-0.6,-0.1,-0.7,0.1
1980,Brad Davis,PG,24,IND,5,43,3.9,.400,.000,.571,0.0,5.0,2.4,13.4,3.2,0.0,25.5,10.6,0.0,0.0,0.0,-0.013,-4.8,0.2,-4.5,0.0
1980,Brad Davis,PG,24,UTA,13,225,16.0,.620,.018,.214,2.2,5.5,3.9,28.3,2.2,0.3,15.2,13.8,0.6,0.0,0.6,.131,0.2,-0.2,0.0,0.2
1980,Harry Davis,SF,24,SAS,4,30,5.8,.505,.000,.167,7.3,14.0,10.7,0.0,1.5,0.0,18.9,20.0,0.0,0.0,0.0,-0.030,-4.6,-0.4,-5.1,-0.1
1980,Johnny Davis,PG,24,IND,82,2912,13.6,.495,.036,.304,3.5,4.5,4.0,20.3,1.7,0.4,13.3,20.2,3.1,1.3,4.4,.073,-0.4,-1.5,-2.0,0.0
1980,Walter Davis,SF,25,PHO,75,2309,21.3,.608,.003,.313,3.6,9.2,6.5,23.6,2.3,0.5,15.4,27.0,5.5,2.8,8.3,.173,3.4,0.2,3.6,3.3
1980,Darryl Dawkins,C,23,PHI,80,2541,14.6,.548,.006,.308,8.7,19.6,14.5,8.5,0.9,3.0,17.6,20.5,1.3,4.3,5.7,.107,-1.7,0.6,-1.2,0.5
1980,Paul Dawkins,SF,22,UTA,57,776,11.0,.492,.017,.160,6.6,12.0,9.4,14.8,2.1,0.7,19.1,22.0,-0.5,0.4,-0.1,-0.009,-2.9,-1.3,-4.2,-0.4
1980,Greg Deane,SG,22,UTA,7,48,4.5,.355,.091,.636,5.1,9.4,7.3,15.4,0.0,0.0,17.6,15.3,-0.1,0.0,-0.1,-0.070,-3.8,-1.0,-4.8,-0.1
1980,Larry Demic,PF,22,NYK,82,1872,7.4,.468,.000,.347,11.2,16.9,14.1,4.1,1.3,0.9,21.6,16.0,-1.4,1.3,-0.1,-0.002,-4.5,-1.6,-6.2,-2.0
1980,Coby Dietrick,C,31,CHI,79,1830,12.1,.494,.018,.236,6.4,15.7,11.1,16.4,2.3,1.6,16.9,14.8,0.8,2.1,2.9,.076,-0.9,1.5,0.6,1.2
1980,Leon Douglas,C,25,DET,70,1782,11.4,.529,.002,.407,10.0,19.6,14.8,8.5,0.8,1.8,19.1,14.3,1.0,1.1,2.1,.057,-2.1,-0.6,-2.8,-0.3
1980,John Drew,SF,25,ATL,80,2306,17.8,.532,.006,.547,9.4,12.5,11.0,7.4,1.9,0.6,14.1,30.2,3.3,3.1,6.4,.134,0.6,-0.9,-0.3,1.0
1980,Terry Duerod,SG,23,DET,67,1331,11.7,.498,.089,.110,2.3,5.5,3.9,12.4,1.4,0.4,11.2,20.4,0.6,0.2,0.7,.026,-1.5,-1.7,-3.3,-0.4
1980,Mike Dunleavy,PG,25,HOU,51,1036,12.9,.542,.063,.420,2.7,8.1,5.3,26.7,1.8,0.2,22.5,18.6,0.9,0.5,1.4,.065,-0.7,-0.8,-1.5,0.1
1980,T.R. Dunn,SG,24,POR,82,1841,12.5,.470,.005,.201,7.8,11.6,9.7,10.9,2.7,1.0,13.2,15.4,0.9,2.3,3.3,.086,-0.8,1.3,0.4,1.1
1980,James Edwards,C,24,IND,82,2314,17.6,.545,.001,.328,7.8,18.4,12.9,8.0,1.1,2.4,10.0,22.0,4.4,2.4,6.7,.140,0.2,-0.7,-0.5,0.9
1980,Bob Elliott,PF,24,NJN,54,722,11.6,.521,.018,.667,9.6,16.9,13.3,10.0,1.8,1.1,23.0,20.5,-0.3,1.0,0.8,.050,-2.7,-0.2,-2.9,-0.2
1980,Bo Ellis,PF,25,DEN,48,502,12.1,.508,.022,.390,10.3,13.8,12.0,8.0,0.9,2.6,13.1,14.3,0.5,0.4,0.9,.085,-1.6,-0.3,-1.9,0.0
1980,Len Elmore,C,27,KCK,58,915,10.6,.472,.000,.306,8.4,22.2,15.0,8.8,2.1,2.5,19.6,14.9,-0.3,1.8,1.5,.080,-3.5,2.1,-1.4,0.1
1980,Alex English*,SF,26,TOT,78,2401,18.0,.536,.005,.239,11.3,14.9,13.1,13.9,1.4,1.4,14.8,23.4,3.3,2.0,5.3,.105,1.6,-1.2,0.4,1.5
1980,Alex English*,SF,26,IND,54,1526,17.7,.539,.004,.204,11.0,14.9,12.9,13.5,1.4,1.2,14.2,22.2,2.4,1.3,3.6,.114,1.6,-1.3,0.3,0.9
1980,Alex English*,SF,26,DEN,24,875,18.5,.531,.007,.295,11.9,15.0,13.4,14.7,1.5,1.8,15.7,25.6,0.9,0.7,1.6,.089,1.6,-0.9,0.7,0.6
1980,Julius Erving*,SF,29,PHI,78,2812,25.4,.568,.012,.331,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,7.3,5.2,12.5,.213,5.7,1.9,7.6,6.8
1980,Earl Evans,PF,24,DET,36,381,10.3,.495,.129,.300,7.1,13.6,10.3,12.9,1.6,0.1,18.5,19.6,-0.1,0.2,0.1,.015,-2.8,-1.2,-4.0,-0.2
