Yr,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1982,1,Moses Malone,26,HOU,40.0,507.0,690,0.735,81,42.0,31.1,14.7,1.8,0.9,1.5,.519,.000,.762,15.4,.218
1982,2,Larry Bird,25,BOS,20.0,406.0,690,0.588,77,38.0,22.9,10.9,5.8,1.9,0.9,.503,.212,.863,12.5,.205
1982,3,Julius Erving,31,PHI,1.0,203.0,690,0.294,81,34.4,24.4,6.9,3.9,2.0,1.7,.546,.273,.763,13.3,.229
1982,4,Robert Parish,28,BOS,4.0,131.0,690,0.190,80,31.7,19.9,10.8,1.8,0.9,2.4,.542,,.710,10.0,.190
1982,5,Gus Williams,28,SEA,2.0,115.0,690,0.167,80,36.0,23.4,3.1,6.9,2.2,0.5,.486,.225,.734,10.2,.171
1982,6,George Gervin,29,SAS,1.0,110.0,690,0.159,79,35.7,32.3,5.0,2.4,1.0,0.6,.500,.278,.864,10.7,.182
1982,7,Sidney Moncrief,24,MIL,1.0,101.0,690,0.146,80,37.3,19.8,6.7,4.8,1.7,0.3,.523,.071,.817,13.4,.216
1982,8,Magic Johnson,22,LAL,0.0,67.0,690,0.097,78,38.3,18.6,9.6,9.5,2.7,0.4,.537,.207,.760,12.9,.207
1982,9,Jack Sikma,26,SEA,0.0,33.0,690,0.048,82,37.2,19.6,12.7,3.4,1.2,1.3,.479,.154,.855,12.6,.199
1982,10,Kareem Abdul-Jabbar,34,LAL,0.0,31.0,690,0.045,76,35.2,23.9,8.7,3.0,0.8,2.7,.579,.000,.706,10.7,.192
1982,11,Dan Roundfield,28,ATL,0.0,14.0,690,0.020,61,36.3,18.6,11.8,2.7,1.0,1.5,.466,.200,.760,6.5,.141
1982,12,Kelly Tripucka,22,DET,0.0,14.0,690,0.020,82,37.5,21.6,5.4,3.3,1.1,0.2,.496,.227,.797,7.5,.117
1982,13,Alex English,28,DEN,0.0,12.0,690,0.017,82,36.8,25.4,6.8,5.3,1.1,1.5,.551,.000,.840,9.5,.152
1982,14,Bernard King,25,GSW,0.0,10.0,690,0.014,79,36.2,23.2,5.9,3.6,1.0,0.3,.566,.200,.705,8.7,.147
1982,15,Adrian Dantley,26,UTA,0.0,7.0,690,0.010,81,39.8,30.3,6.3,4.0,1.2,0.2,.570,.333,.792,12.6,.187
1982,16,Ray Williams,27,NJN,0.0,6.0,690,0.009,82,33.3,20.4,4.0,6.0,2.4,0.5,.462,.167,.832,7.9,.139
1982,17,Michael Cooper,25,LAL,0.0,3.0,690,0.004,76,28.9,11.9,3.5,3.0,1.6,0.8,.517,.118,.813,5.0,.109
1982,18,Dan Issel,33,DEN,0.0,3.0,690,0.004,81,30.5,22.9,7.5,2.2,0.8,0.7,.527,.667,.834,9.8,.190
1982,19,Marques Johnson,25,MIL,0.0,3.0,690,0.004,60,31.7,16.5,6.1,3.6,1.0,0.6,.532,.000,.700,6.2,.158
1982,20,Isiah Thomas,20,DET,0.0,3.0,690,0.004,72,33.8,17.0,2.9,7.8,2.1,0.2,.424,.288,.704,2.3,.046
1982,21,Dennis Johnson,27,PHO,0.0,1.0,690,0.001,80,36.7,19.5,5.1,4.6,1.3,0.7,.470,.190,.806,8.1,.132
1982,22,Mychal Thompson,27,POR,0.0,1.0,690,0.001,79,39.6,20.8,11.7,4.0,0.9,1.4,.523,,.628,8.2,.125
1982,23,Jay Vincent,22,DAL,0.0,1.0,690,0.001,81,32.4,21.4,7.0,2.2,1.1,0.3,.497,.250,.716,5.6,.102
1982,24,Jamaal Wilkes,28,LAL,0.0,1.0,690,0.001,82,35.4,21.1,4.8,1.7,1.1,0.3,.525,.000,.732,7.7,.127
1982,25,Buck Williams,21,NJN,0.0,1.0,690,0.001,82,34.5,15.5,12.3,1.3,1.0,1.0,.582,.000,.624,8.9,.152
1983,1,Moses Malone,27,PHI,69.0,720.0,750,0.960,78,37.5,24.5,15.3,1.3,1.1,2.0,.501,.000,.761,15.1,.248
1983,2,Larry Bird,26,BOS,1.0,364.0,750,0.485,79,37.7,23.6,11.0,5.8,1.9,0.9,.504,.286,.840,14.0,.225
1983,3,Magic Johnson,23,LAL,2.0,304.5,750,0.406,79,36.8,16.8,8.6,10.5,2.2,0.6,.548,.000,.800,12.5,.207
1983,4,Sidney Moncrief,25,MIL,0.0,226.0,750,0.301,76,35.7,22.5,5.8,3.9,1.5,0.3,.524,.100,.826,13.2,.233
1983,5,Julius Erving,32,PHI,3.0,112.0,750,0.149,72,33.6,21.4,6.8,3.7,1.6,1.8,.517,.286,.759,10.9,.217
1983,6,Alex English,29,DEN,0.0,42.0,750,0.056,82,36.4,28.4,7.3,4.8,1.4,1.5,.516,.167,.829,10.3,.166
1983,7,Buck Williams,22,NJN,0.0,40.0,750,0.053,82,36.1,17.0,12.5,1.5,1.1,1.3,.588,.000,.620,11.4,.185
